term,beta,se,t,p,lo95,hi95,outcome
race_MexAm,-9.828669301596733,1.4428706818788968,-6.8118851017181274,0.09279439678250223,-28.16207959337398,8.504740990180515,total_sleep_time_min
race_NHAsian,-22.293206991843505,6.107825158593703,-3.649941904521774,0.17024158315179627,-99.90048394969376,55.314069966006755,total_sleep_time_min
race_NHBlack,-12.558828013779731,0.4404992331969747,-28.510442396533968,0.022320204284037137,-18.155901456908452,-6.96175457065101,total_sleep_time_min
race_OtherHisp,-15.506328342595282,0.7911404870172862,-19.599968143529573,0.032452513999168486,-25.558721345713877,-5.4539353394766845,total_sleep_time_min
race_OtherMulti,-24.839113576416295,8.380548835171842,-2.963900582760219,0.20715607582839013,-131.32408287762007,81.64585572478748,total_sleep_time_min
edu_HS,8.871921124089283,0.716248634574443,12.386649964590172,0.051284412301371596,-0.22888066881916203,17.97272291699773,total_sleep_time_min
edu_SomeColl,9.714164266830025,5.456235777826876,1.7803783894945624,0.32579976961465085,-59.61388461507964,79.04221314873969,total_sleep_time_min
edu_lt_HS,6.173047392286705,0.5753327325781297,10.729525790449287,0.05916254128735843,-1.1372480992738554,13.483342883847264,total_sleep_time_min
pir,3.77086071673396,1.4978746592763559,2.5174741380268197,0.2407126788490641,-15.261441373159329,22.80316280662725,total_sleep_time_min
bmi,-0.661549595015245,0.06371844248051355,-10.382388038087418,0.061128713792018896,-1.471169170642821,0.148069980612331,total_sleep_time_min
smk_current,-11.92979159257223,4.989798809605412,-2.390836193556995,0.2521976461771238,-75.33119685973938,51.47161367459491,total_sleep_time_min
smk_former,-5.323498641037345,6.726329095715762,-0.7914418942760428,0.5737825806621886,-90.78961325409061,80.14261597201592,total_sleep_time_min
dm_self,1.1297979865901198,1.203571119729074,0.9387047994674709,0.520121032491137,-14.16302307523452,16.42261904841476,total_sleep_time_min
comorb_count,-1.3042588365061079,4.591192215174699,-0.28407846489094984,0.8237921498730771,-59.64088710564725,57.032369432635036,total_sleep_time_min
phq9_score,-0.3097455700478733,0.43868633544274527,-0.7060752638562626,0.6086114504362408,-5.8837839631456035,5.264292823049857,total_sleep_time_min
sinus_ever,-8.166762999389391,3.7661622191350657,-2.1684575767596557,0.2750792582634056,-56.02039122536556,39.686865226586775,total_sleep_time_min
head_injury,5.804449698076979,6.1733054564091985,0.9402498773247533,0.5195985540183266,-72.63483333000266,84.24373272615662,total_sleep_time_min
n_meds,-0.9378414267772257,0.5144371976835024,-1.823043572666016,0.3194025823987028,-7.474385784447781,5.59870293089333,total_sleep_time_min
(Intercept),0.9240837379755114,0.0022502474680099515,410.65871692447325,0.001550237430252066,0.8954916329399182,0.9526758430111045,sleep_efficiency
od_binary,-0.005907335040195166,0.003557370306923203,-1.6605904166621512,0.345068442051532,-0.05110801048234999,0.039293340401959656,sleep_efficiency
age,-0.00029938852888371226,0.00013410204402133688,-2.2325426213196033,0.26809501675056424,-0.00200331655575833,0.0014045394979909057,sleep_efficiency
female,0.006251574160151416,0.000528287865042895,11.833650882069403,0.05366989944719003,-0.0004609596127202334,0.012964107933023064,sleep_efficiency
race_MexAm,-0.00283489520328864,0.006090521520920393,-0.46546017341060697,0.72266552899067,-0.08022230859818125,0.07455251819160397,sleep_efficiency
race_NHAsian,-0.012624271313755764,0.000956448512863731,-13.199112282538929,0.048140047191099766,-0.024777101937812143,-0.00047144068969938273,sleep_efficiency
race_NHBlack,-0.009322928047178046,0.0009675422440146202,-9.635680617411026,0.06583332171832623,-0.021616717890525702,0.002970861796169613,sleep_efficiency
race_OtherHisp,-0.005153044340675872,0.002969550867314604,-1.7352941811486207,0.3328178584528747,-0.04288476563526036,0.03257867695390862,sleep_efficiency
race_OtherMulti,-0.004192337926823053,0.009571719650981176,-0.43799213513251045,0.7371884370394766,-0.12581256748945646,0.11742789163581036,sleep_efficiency
edu_HS,0.0022657760556941686,0.005301518164866988,0.42738249407677276,0.7428776076830237,-0.06509639915965493,0.06962795127104326,sleep_efficiency
edu_SomeColl,0.002620108651939082,0.006309311631141608,0.41527646835618404,0.749422645742341,-0.0775472966776745,0.08278751398155267,sleep_efficiency
edu_lt_HS,-0.0026059520621554144,0.0019426179319959656,-1.3414640209142403,0.40780936246536137,-0.027289253230260442,0.022077349105949613,sleep_efficiency
pir,0.002741647563632502,0.00032777122666187235,8.364515676236511,0.0757500506574027,-0.00142308074896037,0.0069063758762253746,sleep_efficiency
bmi,-0.00039767986572179087,0.00022962971312465294,-1.7318310435980602,0.3333683131842706,-0.0033154020141926924,0.0025200422827491107,sleep_efficiency
smk_current,-0.006868596167265151,0.005335831081302636,-1.2872589222948791,0.4204627830908292,-0.07466675832394085,0.060929565989410545,sleep_efficiency
smk_former,-0.0005791085540973115,0.003997610035797152,-0.14486369328463852,0.9084140210980889,-0.05137356012432257,0.05021534301612795,sleep_efficiency
dm_self,-0.00533582787213005,0.0007448352668771671,-7.163769103605022,0.08829604118485213,-0.014799857267794652,0.004128201523534552,sleep_efficiency
